keyword,competition,lower_bid,upper_bid,CPC
facturas moviles,4,0.0,0.0,1.03
facturas telefonica,0,0.19,7.33,2.13
fi network barcelona,15,0.51,1.58,0.7
fibra,77,0.75,2.96,1.37
fibra 1 gb mas barata,70,0.81,2.18,1.3
fibra 1 giga,63,0.7,2.09,2.02
fibra 10 gb,67,0.64,2.1,1.1
fibra 100 mb,48,0.52,1.99,0.93
fibra 100 mb más barata,61,0.62,2.09,0.92
fibra 10gb,67,0.64,2.1,1.02
fibra 10gb movistar,26,1.09,1.78,0.9
datos extranjero,22,0.36,1.35,0.56
datos fuera de españa,4,0.0,0.0,0.3
datos ilimitados,63,0.45,1.98,0.75
datos ilimitados barato,68,0.59,2.66,0.81
datos ilimitados españa,60,0.43,1.99,0.86
datos ilimitados mas movil,44,0.64,2.05,0.45
datos ilimitados masmovil,40,0.57,0.65,0.67
datos ilimitados movil,68,0.52,2.09,0.78
datos ilimitados móvil,68,0.51,2.08,0.78
datos ilimitados movil ofertas,71,0.68,4.0,1.23
datos ilimitados ofertas,65,0.59,2.56,1.02
datos ilimitados precio,46,0.41,2.06,0.68
datos ilimitados prepago,90,0.24,0.96,0.53
datos ilimitados roaming,50,0.32,1.03,0.46
datos ilimitados sin permanencia,57,0.68,2.53,0.99
datos ilimitados tarifa,63,0.52,2.38,0.86
datos ilimitados tarifas,63,0.52,2.38,0.91
datos ilimitados y fibra,60,0.94,2.81,1.84
datos ilimitados y llamadas ilimitadas,73,0.58,2.35,1.22
datos infinitos,55,0.5,2.07,0.87
datos mas movil,40,0.64,2.08,0.95
datos movil,15,0.5,2.09,0.84
datos móvil,15,0.5,2.09,0.84
datos movil ilimitados,68,0.51,2.08,0.78
datos moviles,15,0.5,2.09,0.84
datos móviles,15,0.5,2.09,0.84
datos moviles andorra,19,2.18,9.04,1.47
datos moviles en andorra,15,1.47,7.08,0.86
datos móviles en andorra,15,1.47,7.08,0.86
datos moviles en egipto,31,0.17,1.15,0.15
datos moviles en el extranjero,31,0.36,1.43,0.46
datos moviles en estados unidos,68,0.31,2.35,0.58
datos moviles en londres,8,0.41,1.48,0.46
datos moviles en marruecos,34,0.28,1.79,0.61
datos moviles en portugal,4,0.0,0.0,1.3
datos moviles en suiza,34,0.55,3.16,0.76
datos móviles gratis,17,0.4,1.11,0.71
datos móviles ilimitados,68,0.52,2.09,0.78
datos moviles londres,11,0.9,1.71,0.54
datos moviles marruecos,35,0.39,1.72,0.58
datos moviles reino unido,12,0.72,1.35,0.56
datos moviles suiza,43,0.87,4.37,1.09
datos prepago,98,0.4,1.2,0.67
datos y llamadas ilimitadas,60,0.76,2.68,1.29
datos y llamadas ilimitadas ofertas,67,0.59,2.52,1.19
de móvil,97,0.52,2.13,1.02
de que operador es un numero,3,0.14,0.44,0.15
diferencia entre fibra smart y fibra,10,0.52,2.29,1.15
diferencia entre fibra y fibra smart,14,0.5,2.12,0.98
digi cambiar tarifa,16,0.3,0.91,0.37
digi dar de baja fibra,6,0.16,0.85,0.33
digi llamadas wifi,2,0.41,0.9,0.67
digi mobil portabilidad,40,0.72,2.69,1.29
digi movil recarga,55,0.02,0.23,0.08
digi movil roaming,12,0.07,0.28,0.16
digi regala movil,20,0.32,0.71,0.51
digi roaming europa,12,0.06,0.18,0.11
digi soy cliente,17,0.12,0.44,0.15
dinero moviles,15,0.3,1.86,1.32
distribuidor movistar,8,1.24,1.99,1.93
distribuidores movistar,5,1.29,2.21,2.3
donde comprar sim card en madrid,47,0.28,1.03,0.76
donde comprar tarjeta prepago movil,96,0.28,1.18,0.6
donde comprar tarjeta sim prepago madrid,49,0.37,0.91,0.67
dos lineas movil y fibra,62,0.73,2.49,1.47
dos lineas moviles datos ilimitados,69,0.48,1.95,1.33
duplicado sim orange,4,0.41,1.31,0.64
duplicado tarjeta o2,4,4.94,4.97,5.44
duplicado tarjeta orange,2,0.37,2.62,0.65
duplicado tarjeta sim orange,3,0.41,1.31,0.72
el 900 es gratuito,0,1.02,5.49,1.85
